task_id,resolved,f2p,p2p,minutes,error,tool_calls,prompt_tok,cached_tok,output_tok,reasoning_chars,reasoning_tok
abs-module-cache-flags,0,0.95,1.0,16.7,,126,5753921,5473600,58773,133542,34115
abs-stepped-slices,0,0.167,0.833,28.3,,166,14256162,13808000,107486,229402,67568
actionlint-action-pinning-lint,1,1.0,1.0,25.5,,159,15660925,15235200,99467,228979,60282
adaptix-name-mapping-aliases,0,0.932,1.0,35.4,,248,32655099,31968000,117894,275103,69958
aiomonitor-task-snapshots-diff,1,1.0,1.0,20.4,,108,9172543,8825600,71193,150082,37025
anko-default-function-arguments,1,1.0,1.0,34.5,,135,15137736,14740800,135543,334981,92981
anko-typed-variable-bindings,1,1.0,1.0,22.6,,116,9751358,9403200,83237,158041,44567
arcane-drift-detection-baselines,1,1.0,1.0,28.6,,193,14951153,14446400,66663,114413,27375
arktype-json-schema-refs-depende,1,1.0,1.0,52.0,NonZeroAgentExitCodeError,225,25956871,25350400,166064,463545,118076
awilix-async-container-initializ,0,0.958,1.0,22.8,,97,8325415,8038400,94911,269142,64112
bandit-incremental-cache-control,1,1.0,1.0,28.0,,124,11212682,10868800,92973,198127,49859
bandit-interprocedural-taint-che,1,1.0,1.0,38.5,,158,15406989,14996800,121528,278699,74077
bandit-structured-nosec-directiv,0,0.971,0.996,32.8,,149,15136957,14704000,115425,309578,85899
boa-hierarchical-evaluation-canc,1,1.0,1.0,48.6,,210,29756758,29144000,109477,276192,67688
cattrs-partial-structuring-recov,1,1.0,1.0,31.2,,201,21090862,20568000,103168,238992,60763
clack-async-autocomplete-options,0,0.988,1.0,29.2,,121,13353754,13000000,115022,305912,78161
claude-code-by-agents-recursive,1,1.0,1.0,12.8,,58,2590588,2438400,56129,148222,35477
cliffy-config-file-parsing,1,1.0,1.0,28.1,,165,15097229,14675200,102257,253144,64720
csstree-shorthand-expansion-comp,0,0.937,1.0,37.1,,105,11563256,11262400,146848,400947,105241
dasel-html-document-format,0,0.952,1.0,20.9,,89,6204366,5936000,88414,205227,56251
dateutil-rfc5545-timezone-intero,1,1.0,1.0,28.6,,99,9351098,9059200,116384,266525,75329
drizzle-orm-window-function-buil,0,0.777,1.0,29.4,,225,23590381,22980800,116923,273304,70548
dynamodb-toolbox-conditional-att,0,0.935,1.0,61.3,,239,28631310,27899200,171985,375759,90913
