task_id,resolved,f2p,p2p,minutes,error
abs-module-cache-flags,0,0.65,1.0,21.4,
abs-stepped-slices,1,1.0,1.0,29.3,
actionlint-action-pinning-lint,1,1.0,1.0,22.3,
adaptix-name-mapping-aliases,0,0.977,1.0,59.2,
aiomonitor-task-snapshots-diff,0,0.981,1.0,20.2,
anko-default-function-arguments,1,1.0,1.0,239.3,
anko-typed-variable-bindings,1,1.0,1.0,14.9,
arcane-drift-detection-baselines,1,1.0,1.0,27.5,
arktype-json-schema-refs-dependencies,0,0.0,1.0,113.1,
awilix-async-container-initialization,1,1.0,1.0,24.1,
bandit-incremental-cache-control,0,0.955,1.0,24.2,
bandit-interprocedural-taint-checks,1,1.0,1.0,22.1,
bandit-structured-nosec-directives,0,0.971,0.993,34.6,
boa-hierarchical-evaluation-cancellation,1,1.0,1.0,50.8,
cattrs-partial-structuring-recovery,0,0.971,1.0,25.2,
clack-async-autocomplete-options,0,0.963,1.0,25.6,
claude-code-by-agents-recursive-delegation,1,1.0,1.0,15.5,
cliffy-config-file-parsing,1,1.0,1.0,19.6,
csstree-shorthand-expansion-compression,0,0.886,1.0,30.8,
dasel-html-document-format,0,0.952,1.0,18.9,
dateutil-rfc5545-timezone-interop,1,1.0,1.0,26.9,
drizzle-orm-window-function-builders,0,0.969,1.0,27.7,
dynamodb-toolbox-conditional-attribute-requirements,0,0.968,1.0,52.1,
dynamodb-toolbox-lazy-recursive-schemas,1,1.0,1.0,57.8,
effect-sse-httpapi-streaming,0,0.681,1.0,82.1,
eicrud-keyset-pagination-cursor,0,0.0,0.952,37.2,
etree-xml-diff-patch,0,0.923,1.0,26.8,
expr-try-catch-errors,0,0.899,1.0,58.5,
fastapi-deprecation-response-headers,1,1.0,1.0,41.5,
fastapi-implicit-head-options,0,0.814,1.0,52.3,
fd-deterministic-multi-key-sorting,1,1.0,1.0,25.4,
geo-shapeindex-serialization,1,1.0,1.0,16.5,
go-critic-doc-link-checker,0,0.667,0.938,34.7,
go-genai-streamed-function-args,1,1.0,1.0,32.6,
go-git-worktree-merge-conflicts,1,1.0,1.0,41.5,
goreleaser-retry-publish-auditing,0,0.069,1.0,39.7,
